efficacy_id,efficacy_name
AAAA,각성 작용
AAAB,간에 좋음
AAAC,감기 예방
AAAD,강심 작용
AAAE,거담작용
AAAF,고지혈증 개선
AAAG,고혈압 혈당강하
AAAH,고혈압 혈압강하
AAAI,관절염
AAAJ,구취 제거
AAAK,기관지 건강
AAAL,기력 회복
AAAM,기억력 상승
AAAN,기침구토개선
AAAO,뇌혈관질환예방
AAAP,눈 건강
AAAQ,다이어트
AAAR,당뇨병예방
AAAS,돌연변이 억제
AAAT,동맥경화 억제
AAAU,두통
AAAV,류마티즘
AAAW,면역기능 상승
AAAX,발기부전
AAAY,배탈
AAAZ,백내장 예방
AABA,변비 개선 장운동
AABB,복부통증완화
AABC,부종개선
AABD,불면증 예방
AABE,붓기완화
AABF,비염
AABG,빈혈 예방
AABH,뼈 튼튼
AABI,산후통
AABJ,설사
AABK,성인병 예방
AABL,성장 촉진
AABM,세포 손상 방지
AABN,세포 재생
AABO,소염 작용
AABP,소화불량 해소
AABQ,수렴작용
AABR,수족냉증개선
AABS,숙취해소
AABT,스트레스 완화
AABU,식중독 예방치료
AABV,신경세포 강화
AABW,신경완화
AABX,신경장애 방지
AABY,신진대사촉진
AABZ,심근경색
AACA,심신 안정
AACB,심장 기능 강화
AACD,심장질환예방
AACE,심혈관 질환예방
AACF,여성건강
AACG,월경증후군 개선
AACH,위장 기능 강화
AACI,유방암 예방
AACJ,유해한 과산화 지질 분해
AACK,이뇨작용
AACL,인후통
AACM,일사병 예방
AACN,입덧 완화
AACO,전립선 비대증 치료효과
AACP,중풍예방
AACQ,지혈
AACR,진정작용
AACS,진통 및 생리통완화
AACT,집중력강화
AACU,천식
AACV,체내의 중금속 제거
AACW,축농증
AACX,충치예방
AACY,치매 예방
AACZ,콜레스테롤 수치 감소
AADA,탈모
AADB,태아안정
AADC,토혈
AADD,통증 완화
AADE,피로회복
AADF,피부미용 노화방지
AADG,항경련
AADH,항바이러스
AADI,항변이원성
AADJ,항불임
AADK,항산화 작용
AADL,항암작용
AADM,항염작용
AADN,항우울
AADO,해독 작용
AADP,해열
AADQ,향균작용
AADR,혈관 노폐물제거
AADS,혈관이완
AADT,혈액순환
AADU,혈전형성 억제
AADV,활성산소 제거
AADW,효소 활성화
