tea_id,tea_name,tea_img,tea_price,tea_efficacy,score_average,score_count,side_effect
1,감잎차,img/product/product1.jpg,14000,"감기 예방, 거담 작용, 고혈압 혈당 강하, 당뇨병 예방, 동맥경화 억제, 피부 미용, 노화 방지, 항암 작용, 항염 작용, 향균 작용, 혈액 순환",4.79,233,변비 환자는 섭취를 자제해주세요.
2,감초차,img/product/product2.jpg,10400,"간에 좋음, 강심 작용, 거담 작용, 숙취 해소, 유방암 예방, 천식, 항암 작용, 해독 작용",3.97,1014,고혈압 환자는 섭취를 자제해주세요.
3,강죽차,img/product/product3.jpg,11300,"감기 예방, 변비 개선, 장 운동, 항바이러스, 항산화 작용, 거담 작용",3.16,813,치질 환자는 섭취를 자제해주세요.
4,개암차,img/product/product4.jpg,10000,"기력 회복, 식욕 증진, 시력 개선, 세포 손상 방지, 심혈관 질환 예방",3.09,1231,"치질 환자, 동·정맥류 환자, 궤양 환자는 섭취를 자제해주세요."
5,결명자차,img/product/product5.jpg,13800,"고혈압 혈압 강하, 시력 개선, 변비 개선, 장 운동, 골다공증 예방, 심혈관 질환 예방, 유해한 과산화 지질 분해, 이뇨 작용, 충치 예방, 콜레스테롤 수치 감소, 효소 활성화",3.38,1327,소화기 환자는 섭취를 자제해주세요.
6,계피차,img/product/product6.jpg,10400,"감기 예방, 진통 및 생리통 완화, 항경련, 항바이러스, 항불임, 해열, 향균 작용",4.5,621,"임산부, 월경과다자, 온성인, 치질 환자는 섭취를 자제해주세요."
7,고삼차,img/product/product7.jpg,13700,"이뇨 작용, 항염 작용, 해열, 혈액 순환",3.88,811,비위가 약한 사람은 섭취를 자제해주세요.
8,구기자차,img/product/product8.jpg,11800,"감기 예방, 고혈압 혈당 강하, 다이어트, 돌연변이 억제, 성인병 예방, 수렴 작용, 진정 작용, 체내의 중금속 제거, 피부 미용, 노화 방지, 항바이러스, 항산화 작용, 활성산소 제거",3.57,654,소화기 환자는 섭취를 자제해주세요.
9,국화차,img/product/product9.jpg,11500,"감기 예방, 시력 개선, 면역 기능 상승, 불면증 치료, 소염 작용, 콜레스테롤 수치 감소, 피부 미용, 노화 방지",2.54,851,"냉성인, 피부 알러지가 있는 사람은 섭취를 자제해주세요."
10,귤피차,img/product/product10.jpg,12300,"감기 예방, 시력 개선, 변비 개선, 장 운동, 심장 기능 강화, 피부 미용, 노화 방지, 항암 작용",4.08,420,소화기 환자는 섭취를 자제해주세요.
11,곽향차,img/product/product11.jpg,10600,"구취 제거, 위장 기능 강화, 일사병 예방, 향균 작용",4.54,56,온성인 사람은 섭취를 자제해주세요.
12,노각차,img/product/product12.jpg,13700,"간에 좋음, 면역 기능 상승, 전립선 비대증 치료 효과, 항암 작용, 항염 작용, 향균 작용",3.55,397,냉성인 사람은 섭취를 자제해주세요.
13,노니차,img/product/product13.jpg,10100,"세포 재생, 통증 완화, 항암 작용, 항염 작용, 향균 작용, 혈액 순환",2.42,140,고혈압 환자는 섭취를 자제해주세요.
14,녹두차,img/product/product14.jpg,8000,"거담 작용, 고혈압 혈당 강하, 고혈압 혈압 강하, 기력 회복, 당뇨병 예방, 면역 기능 상승, 빈혈 예방, 성장 촉진, 피부 미용, 노화 방지, 항암 작용, 항염 작용, 해독 작용, 향균 작용",4.9,349,"냉성인, 저혈압 환자, 신장 환자, 결석 환자는 섭취를 자제해주세요."
