tea_id,tea_name,efficacies,efficacies_korean,score_average,score_count
1,감잎차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAE""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AADL""},{""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADQ""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""거담작용""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""항암작용""},{""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""향균작용""}, {""efficacy_name"": ""혈액순환""}]",4.79,233
2,감초차,"[{""efficacy_id"": ""AAAB""}, {""efficacy_id"": ""AABS""}, {""efficacy_id"": ""AACI""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADO""}]","[{""efficacy_name"": ""간에좋음""}, {""efficacy_name"": ""숙취해소""}, {""efficacy_name"": ""유방암예방""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""해독작용""}]",3.97,1014
3,강죽차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADK""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항산화작용""}]",3.16,813
4,개암차,"[{""efficacy_id"": ""AAAL""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AABM""}, {""efficacy_id"": ""AACE""}]","[{""efficacy_name"": ""기력회복'}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""세포손상방지""}, {""efficacy_name"": ""심혈관질환예방""}]",3.09,1231
5,결명자차,"[{""efficacy_id"": ""AAAH""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AABH""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AACJ""}, {""efficacy_id"": ""AACK""}, {""efficacy_id"": ""AACX""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADW""}]","[{""efficacy_name"": ""고혈압혈압강하""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""뼈튼튼""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""유해한과산화지질분해""}, {""efficacy_name"": ""이뇨작용""}, {""efficacy_name"": ""충치예방""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""효소활성화""}]",3.38,1327
6,계피차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AACS""}, {""efficacy_id"": ""AADG""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADJ""}, {""efficacy_id"": ""AADP""}, {""efficacy_id"": ""AADQ""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""진통및생리통완화""}, {""efficacy_name"": ""항경련""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항불임""}, {""efficacy_name"": ""해열""}, {""efficacy_name"": ""향균작용""}]",4.5,621
7,고삼차,"[{""efficacy_id"": ""AACK""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADP""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""이뇨작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""해열""}, {""efficacy_name"": ""혈액순환""}]",3.88,811
8,구기자차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAQ""}, {""efficacy_id"": ""AAAS""}, {""efficacy_id"": ""AABK""}, {""efficacy_id"": ""AABQ""}, {""efficacy_id"": ""AACR""}, {""efficacy_id"": ""AACV""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADK""}, {""efficacy_id"": ""AADV""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""다이어트""}, {""efficacy_name"": ""돌연변이억제}, {""efficacy_name"": ""성인병예방""}, {""efficacy_name"": ""수렴작용""}, {""efficacy_name"": ""진정작용""}, {""efficacy_name"": ""체내의중금속제거""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항산화작용""}, {""efficacy_name"": ""활성산소제거""}]",3.57,654
9,국화차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AAAW""}, {""efficacy_id"": ""AABD""}, {""efficacy_id"": ""AABO""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADF""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""면역기능상승""}, {""efficacy_name"": ""불면증""}, {""efficacy_name"": ""소염작용""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""피부미용노화방지""}]",2.54,851
10,귤피차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AACB""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADL""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""심장기능강화""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항암작용""}]",4.08,420
